m	NaCl	Na/K = 3/1	Na/K = 1/1	Na/K = 1/3	KCl#	rho 3/1	rho 1/1	rho 1/3
# y_axis	2	2	2	1	1	1
# Lang, Jun, 1996, JCED 41, 516
# NaCl
0.0280	0.8932
0.0439	0.8945
0.1486	0.9030
0.1554	0.9037
0.1735	0.9052
0.2499	0.9111
0.4476	0.9272
0.5614	0.9367
0.7198	0.9500
0.9807	0.9732
1.0034	0.9752
1.3174	1.0048
1.6728	1.0410
1.8995	1.0653
2.0010	1.0764
2.3156	1.1129
2.7186	1.1632
2.9405	1.1930
3.2249	1.2328
3.6736	1.3000
4.2179	1.3902
4.3397	1.4117
4.6368	1.4658
4.9288	1.5218
5.1160	1.5591
5.2593	1.5887
5.3460	1.6068
5.5426	1.6490
5.8345	1.7145
6.0216	1.7585
# NaCl/KCl = 2.987
0.0586		0.8945				0.9994
0.2808		0.9077				1.0088
0.4231		0.9161				1.0147
0.4520		0.9176				1.0158
0.7189		0.9337				1.0265
0.9221		0.9469				1.0345
1.3241		0.9741				1.0497
1.4542		0.9836				1.0547
1.9247		1.0195				1.0719
2.3760		1.0576				1.0877
2.6567		1.0835				1.0970
2.9004		1.1067				1.1056
3.4102		1.1595				1.1223
3.5286		1.1723				1.1260
3.8441		1.2083				1.1360
4.0701		1.2352				1.1432
4.1038		1.2388				1.1440
4.3503		1.2694				1.1515
4.5098		1.2897				1.1562
4.6956		1.3143				1.1621
5.0687		1.3662				1.1728
5.6813		1.4588				1.1903
# NaCl/KCl = 1.001
0.0466			0.8927				0.9990
0.1285			0.8956				1.0027
0.2217			0.8989				1.0067
0.2475			0.9000				1.0077
0.4228			0.9060				1.0152
0.5299			0.9101				1.0196
0.6927			0.9166				1.0259
0.8222			0.9217				1.0317
1.3009			0.9429				1.0506
1.6958			0.9622				1.0656
2.4674			1.0068				1.0937
2.5015			1.0087				1.0949
3.0357			1.0445				1.1131
3.3475			1.0671				1.1236
3.5450			1.0820				1.1300
3.8533			1.1064				1.1400
4.3164			1.1455				1.1546
4.4450			1.1564				1.1583
4.6241			1.1724				1.1639
4.7350			1.1829				1.1672
5.0739			1.2147				1.1773
5.2630			1.2328				1.1828
# NaCl/KCl = 1/3.0075
0.0529				0.8916				0.9996
0.1282				0.8929				1.0029
0.2004				0.8941				1.0061
0.2649				0.8947				1.0089
0.3559				0.8965				1.0131
0.5386				0.8993				1.0207
0.6869				0.9020				1.0271
0.7935				0.9040				1.0315
1.0492				0.9096				1.0421
1.3409				0.9166				1.0538
1.8747				0.9318				1.0745
2.1933				0.9427				1.0865
2.7760				0.9648				1.1075
3.0188				0.9748				1.1159
3.0970				0.9783				1.1184
3.5691				1.0002				1.1345
3.5807				1.0006				1.1349
3.7278				1.0083				1.1398
3.9943				1.0218				1.1483
4.1894				1.0325				1.1546
4.2183				1.0338				1.1552
4.2780				1.0371				1.1570
4.9316				1.0741				1.1774
5.0843				1.0829				1.1826
# KCl
0.0214					0.8907
0.0590					0.8906
0.0955					0.8905
0.1340					0.8902
0.1597					0.8903
0.3197					0.8891
0.4944					0.8882
0.5331					0.8884
0.9477					0.8877
1.2173					0.8883
1.2968					0.8885
1.3584					0.8890
1.7032					0.8917
1.7218					0.8915
1.7758					0.8923
2.2846					0.8987
2.4240					0.9007
2.7977					0.9076
3.3554					0.9204
3.4934					0.9239
3.5485					0.9251
3.9487					0.9368
4.6030					0.9582
4.8181					0.9662
