Flux	Comsol
symbol_size	0
color	Blue
line_thickness	2
59.79078156	1.24E-11
60.00280561	1.24E-11
60.21482966	1.24E-11
60.42685371	1.24E-11
60.63887776	1.24E-11
60.8509018	1.24E-11
61.06292585	1.24E-11
61.2749499	1.25E-11
61.48697395	1.25E-11
61.698998	1.25E-11
61.91102204	1.25E-11
62.12304609	1.25E-11
62.33507014	1.25E-11
62.54709419	1.25E-11
62.75911824	1.25E-11
62.97114228	1.25E-11
63.18316633	1.25E-11
63.39519038	1.25E-11
63.60721443	1.25E-11
63.81923848	1.25E-11
64.03126253	1.25E-11
64.24328657	1.25E-11
64.45531062	1.25E-11
64.66733467	1.25E-11
64.87935872	1.25E-11
65.09138277	1.25E-11
65.30340681	1.25E-11
65.51543086	1.25E-11
65.72745491	1.25E-11
65.93947896	1.25E-11
66.15150301	1.25E-11
66.36352705	1.25E-11
66.5755511	1.25E-11
66.78757515	1.25E-11
66.9995992	1.25E-11
67.21162325	1.25E-11
67.42364729	1.25E-11
67.63567134	1.25E-11
67.84769539	1.25E-11
68.05971944	1.25E-11
68.27174349	1.25E-11
68.48376754	1.25E-11
68.69579158	1.25E-11
68.90781563	1.26E-11
69.11983968	1.26E-11
69.33186373	1.26E-11
69.54388778	1.26E-11
69.75591182	1.26E-11
69.96793587	1.26E-11
70.17995992	1.26E-11
70.39198397	1.26E-11
70.60400802	1.26E-11
70.81603206	1.26E-11
71.02805611	1.26E-11
71.24008016	1.26E-11
71.45210421	1.26E-11
71.66412826	1.26E-11
71.8761523	1.26E-11
72.08817635	1.26E-11
72.3002004	1.26E-11
72.51222445	1.26E-11
72.7242485	1.26E-11
72.93627255	1.26E-11
73.14829659	1.26E-11
73.36032064	1.26E-11
73.57234469	1.26E-11
73.78436874	1.26E-11
73.99639279	1.26E-11
74.20841683	1.26E-11
74.42044088	1.26E-11
74.63246493	1.26E-11
74.84448898	1.26E-11
75.05651303	1.26E-11
75.26853707	1.26E-11
75.48056112	1.26E-11
75.69258517	1.26E-11
75.90460922	1.26E-11
76.11663327	1.25E-11
76.32865731	1.25E-11
76.54068136	1.25E-11
76.75270541	1.25E-11
76.96472946	1.25E-11
77.17675351	1.25E-11
77.38877756	1.25E-11
77.6008016	1.25E-11
77.81282565	1.25E-11
78.0248497	1.25E-11
78.23687375	1.25E-11
78.4488978	1.25E-11
78.66092184	1.25E-11
78.87294589	1.25E-11
79.08496994	1.25E-11
79.29699399	1.25E-11
79.50901804	1.25E-11
79.72104208	1.25E-11
79.93306613	1.25E-11
80.14509018	1.25E-11
80.35711423	1.25E-11
80.56913828	1.25E-11
80.78116232	1.25E-11
80.99318637	1.25E-11
81.20521042	1.25E-11
81.41723447	1.25E-11
81.62925852	1.25E-11
81.84128257	1.25E-11
82.05330661	1.25E-11
82.26533066	1.25E-11
82.47735471	1.25E-11
82.68937876	1.25E-11
82.90140281	1.25E-11
83.11342685	1.25E-11
83.3254509	1.25E-11
83.53747495	1.25E-11
83.749499	1.25E-11
83.96152305	1.25E-11
84.17354709	1.25E-11
84.38557114	1.25E-11
84.59759519	1.25E-11
84.80961924	1.25E-11
85.02164329	1.25E-11
85.23366733	1.25E-11
85.44569138	1.25E-11
85.65771543	1.25E-11
85.86973948	1.25E-11
86.08176353	1.25E-11
86.29378758	1.25E-11
86.50581162	1.25E-11
86.71783567	1.24E-11
86.92985972	1.24E-11
87.14188377	1.24E-11
87.35390782	1.24E-11
87.56593186	1.24E-11
87.77795591	1.24E-11
87.98997996	1.24E-11
88.20200401	1.24E-11
88.41402806	1.24E-11
88.6260521	1.24E-11
88.83807615	1.24E-11
89.0501002	1.24E-11
89.26212425	1.24E-11
89.4741483	1.24E-11
89.68617234	1.24E-11
89.89819639	1.24E-11
90.11022044	1.24E-11
90.32224449	1.24E-11
90.53426854	1.24E-11
90.74629259	1.24E-11
90.95831663	1.24E-11
91.17034068	1.24E-11
91.38236473	1.24E-11
91.59438878	1.24E-11
91.80641283	1.24E-11
92.01843687	1.24E-11
92.23046092	1.24E-11
92.44248497	1.24E-11
92.65450902	1.24E-11
92.86653307	1.24E-11
93.07855711	1.24E-11
93.29058116	1.24E-11
93.50260521	1.23E-11
93.71462926	1.23E-11
93.92665331	1.23E-11
94.13867735	1.23E-11
94.3507014	1.23E-11
94.56272545	1.23E-11
94.7747495	1.23E-11
94.98677355	1.23E-11
95.1987976	1.23E-11
95.41082164	1.23E-11
95.62284569	1.23E-11
95.83486974	1.23E-11
96.04689379	1.23E-11
96.25891784	1.23E-11
96.47094188	1.23E-11
96.68296593	1.23E-11
96.89498998	1.23E-11
97.10701403	1.23E-11
97.31903808	1.23E-11
97.53106212	1.23E-11
97.74308617	1.23E-11
97.95511022	1.23E-11
98.16713427	1.23E-11
98.37915832	1.23E-11
98.59118236	1.23E-11
98.80320641	1.23E-11
99.01523046	1.23E-11
99.22725451	1.22E-11
99.43927856	1.22E-11
99.65130261	1.22E-11
99.86332665	1.22E-11
100.0753507	1.22E-11
100.2873747	1.22E-11
100.4993988	1.22E-11
100.7114228	1.22E-11
100.9234469	1.22E-11
101.1354709	1.22E-11
101.347495	1.22E-11
101.559519	1.22E-11
101.7715431	1.22E-11
101.9835671	1.22E-11
102.1955912	1.22E-11
102.4076152	1.22E-11
102.6196393	1.22E-11
102.8316633	1.22E-11
103.0436874	1.22E-11
103.2557114	1.22E-11
103.4677355	1.22E-11
103.6797595	1.22E-11
103.8917836	1.22E-11
104.1038076	1.22E-11
104.3158317	1.22E-11
104.5278557	1.22E-11
104.7398798	1.21E-11
104.9519038	1.21E-11
105.1639279	1.21E-11
105.3759519	1.21E-11
105.587976	1.21E-11
105.8	1.21E-11
