Conc	Comsol
symbol_size	0
color	Blue
line_thickness	2
0.212024048	2.05E-04
0.424048096	2.04E-04
0.636072144	2.03E-04
0.848096192	2.03E-04
1.06012024	2.02E-04
1.272144289	2.02E-04
1.484168337	2.02E-04
1.696192385	2.01E-04
1.908216433	2.01E-04
2.120240481	2.00E-04
2.332264529	2.00E-04
2.544288577	2.00E-04
2.756312625	1.99E-04
2.968336673	1.99E-04
3.180360721	1.99E-04
3.39238477	1.98E-04
3.604408818	1.98E-04
3.816432866	1.98E-04
4.028456914	1.97E-04
4.240480962	1.97E-04
4.45250501	1.97E-04
4.664529058	1.97E-04
4.876553106	1.96E-04
5.088577154	1.96E-04
5.300601202	1.96E-04
5.512625251	1.96E-04
5.724649299	1.95E-04
5.936673347	1.95E-04
6.148697395	1.95E-04
6.360721443	1.95E-04
6.572745491	1.94E-04
6.784769539	1.94E-04
6.996793587	1.94E-04
7.208817635	1.94E-04
7.420841683	1.93E-04
7.632865731	1.93E-04
7.84488978	1.93E-04
8.056913828	1.93E-04
8.268937876	1.93E-04
8.480961924	1.92E-04
8.692985972	1.92E-04
8.90501002	1.92E-04
9.117034068	1.92E-04
9.329058116	1.92E-04
9.541082164	1.91E-04
9.753106212	1.91E-04
9.965130261	1.91E-04
10.17715431	1.91E-04
10.38917836	1.91E-04
10.6012024	1.91E-04
10.81322645	1.90E-04
11.0252505	1.90E-04
11.23727455	1.90E-04
11.4492986	1.90E-04
11.66132265	1.90E-04
11.87334669	1.90E-04
12.08537074	1.89E-04
12.29739479	1.89E-04
12.50941884	1.89E-04
12.72144289	1.89E-04
12.93346693	1.89E-04
13.14549098	1.89E-04
13.35751503	1.88E-04
13.56953908	1.88E-04
13.78156313	1.88E-04
13.99358717	1.88E-04
14.20561122	1.88E-04
14.41763527	1.88E-04
14.62965932	1.87E-04
14.84168337	1.87E-04
15.05370741	1.87E-04
15.26573146	1.87E-04
15.47775551	1.87E-04
15.68977956	1.87E-04
15.90180361	1.87E-04
16.11382766	1.86E-04
16.3258517	1.86E-04
16.53787575	1.86E-04
16.7498998	1.86E-04
16.96192385	1.86E-04
17.1739479	1.86E-04
17.38597194	1.86E-04
17.59799599	1.85E-04
17.81002004	1.85E-04
18.02204409	1.85E-04
18.23406814	1.85E-04
18.44609218	1.85E-04
18.65811623	1.85E-04
18.87014028	1.85E-04
19.08216433	1.85E-04
19.29418838	1.84E-04
19.50621242	1.84E-04
19.71823647	1.84E-04
19.93026052	1.84E-04
20.14228457	1.84E-04
20.35430862	1.84E-04
20.56633267	1.84E-04
20.77835671	1.84E-04
20.99038076	1.83E-04
21.20240481	1.83E-04
21.41442886	1.83E-04
21.62645291	1.83E-04
21.83847695	1.83E-04
22.050501	1.83E-04
22.26252505	1.83E-04
22.4745491	1.83E-04
22.68657315	1.82E-04
22.89859719	1.82E-04
23.11062124	1.82E-04
23.32264529	1.82E-04
23.53466934	1.82E-04
23.74669339	1.82E-04
23.95871743	1.82E-04
24.17074148	1.82E-04
24.38276553	1.82E-04
24.59478958	1.81E-04
24.80681363	1.81E-04
25.01883768	1.81E-04
25.23086172	1.81E-04
25.44288577	1.81E-04
25.65490982	1.81E-04
25.86693387	1.81E-04
26.07895792	1.81E-04
26.29098196	1.81E-04
26.50300601	1.80E-04
26.71503006	1.80E-04
26.92705411	1.80E-04
27.13907816	1.80E-04
27.3511022	1.80E-04
27.56312625	1.80E-04
27.7751503	1.80E-04
27.98717435	1.80E-04
28.1991984	1.80E-04
28.41122244	1.80E-04
28.62324649	1.79E-04
28.83527054	1.79E-04
29.04729459	1.79E-04
29.25931864	1.79E-04
29.47134269	1.79E-04
29.68336673	1.79E-04
29.89539078	1.79E-04
30.10741483	1.79E-04
30.31943888	1.79E-04
30.53146293	1.79E-04
30.74348697	1.78E-04
30.95551102	1.78E-04
31.16753507	1.78E-04
31.37955912	1.78E-04
31.59158317	1.78E-04
31.80360721	1.78E-04
32.01563126	1.78E-04
32.22765531	1.78E-04
32.43967936	1.78E-04
32.65170341	1.78E-04
32.86372745	1.77E-04
33.0757515	1.77E-04
33.28777555	1.77E-04
33.4997996	1.77E-04
33.71182365	1.77E-04
33.9238477	1.77E-04
34.13587174	1.77E-04
34.34789579	1.77E-04
34.55991984	1.77E-04
34.77194389	1.77E-04
34.98396794	1.77E-04
35.19599198	1.76E-04
35.40801603	1.76E-04
35.62004008	1.76E-04
35.83206413	1.76E-04
36.04408818	1.76E-04
36.25611222	1.76E-04
36.46813627	1.76E-04
36.68016032	1.76E-04
36.89218437	1.76E-04
37.10420842	1.76E-04
37.31623246	1.76E-04
37.52825651	1.75E-04
37.74028056	1.75E-04
37.95230461	1.75E-04
38.16432866	1.75E-04
38.37635271	1.75E-04
38.58837675	1.75E-04
38.8004008	1.75E-04
39.01242485	1.75E-04
39.2244489	1.75E-04
39.43647295	1.75E-04
39.64849699	1.75E-04
39.86052104	1.75E-04
40.07254509	1.74E-04
40.28456914	1.74E-04
40.49659319	1.74E-04
40.70861723	1.74E-04
40.92064128	1.74E-04
41.13266533	1.74E-04
41.34468938	1.74E-04
41.55671343	1.74E-04
41.76873747	1.74E-04
41.98076152	1.74E-04
42.19278557	1.74E-04
42.40480962	1.74E-04
42.61683367	1.73E-04
42.82885772	1.73E-04
43.04088176	1.73E-04
43.25290581	1.73E-04
43.46492986	1.73E-04
43.67695391	1.73E-04
43.88897796	1.73E-04
44.101002	1.73E-04
44.31302605	1.73E-04
44.5250501	1.73E-04
44.73707415	1.73E-04
44.9490982	1.73E-04
45.16112224	1.72E-04
45.37314629	1.72E-04
45.58517034	1.72E-04
45.79719439	1.72E-04
46.00921844	1.72E-04
46.22124248	1.72E-04
46.43326653	1.72E-04
46.64529058	1.72E-04
46.85731463	1.72E-04
47.06933868	1.72E-04
47.28136273	1.72E-04
47.49338677	1.72E-04
47.70541082	1.72E-04
47.91743487	1.71E-04
48.12945892	1.71E-04
48.34148297	1.71E-04
48.55350701	1.71E-04
48.76553106	1.71E-04
48.97755511	1.71E-04
49.18957916	1.71E-04
49.40160321	1.71E-04
49.61362725	1.71E-04
49.8256513	1.71E-04
50.03767535	1.71E-04
50.2496994	1.71E-04
50.46172345	1.71E-04
50.67374749	1.70E-04
50.88577154	1.70E-04
51.09779559	1.70E-04
51.30981964	1.70E-04
51.52184369	1.70E-04
51.73386774	1.70E-04
51.94589178	1.70E-04
52.15791583	1.70E-04
52.36993988	1.70E-04
52.58196393	1.70E-04
52.79398798	1.70E-04
53.00601202	1.70E-04
53.21803607	1.70E-04
53.43006012	1.69E-04
53.64208417	1.69E-04
53.85410822	1.69E-04
54.06613226	1.69E-04
54.27815631	1.69E-04
54.49018036	1.69E-04
54.70220441	1.69E-04
54.91422846	1.69E-04
55.12625251	1.69E-04
55.33827655	1.69E-04
55.5503006	1.69E-04
55.76232465	1.69E-04
55.9743487	1.69E-04
56.18637275	1.69E-04
56.39839679	1.68E-04
56.61042084	1.68E-04
56.82244489	1.68E-04
57.03446894	1.68E-04
57.24649299	1.68E-04
57.45851703	1.68E-04
57.67054108	1.68E-04
57.88256513	1.68E-04
58.09458918	1.68E-04
58.30661323	1.68E-04
58.51863727	1.68E-04
58.73066132	1.68E-04
58.94268537	1.68E-04
59.15470942	1.68E-04
59.36673347	1.67E-04
59.57875752	1.67E-04
