Conc	Comsol
59.79078156	1.67E-04
60.00280561	1.67E-04
60.21482966	1.67E-04
60.42685371	1.67E-04
60.63887776	1.67E-04
60.8509018	1.67E-04
61.06292585	1.67E-04
61.2749499	1.67E-04
61.48697395	1.67E-04
61.698998	1.67E-04
61.91102204	1.67E-04
62.12304609	1.67E-04
62.33507014	1.66E-04
62.54709419	1.66E-04
62.75911824	1.66E-04
62.97114228	1.66E-04
63.18316633	1.66E-04
63.39519038	1.66E-04
63.60721443	1.66E-04
63.81923848	1.66E-04
64.03126253	1.66E-04
64.24328657	1.66E-04
64.45531062	1.66E-04
64.66733467	1.66E-04
64.87935872	1.66E-04
65.09138277	1.66E-04
65.30340681	1.65E-04
65.51543086	1.65E-04
65.72745491	1.65E-04
65.93947896	1.65E-04
66.15150301	1.65E-04
66.36352705	1.65E-04
66.5755511	1.65E-04
66.78757515	1.65E-04
66.9995992	1.65E-04
67.21162325	1.65E-04
67.42364729	1.65E-04
67.63567134	1.65E-04
67.84769539	1.65E-04
68.05971944	1.65E-04
68.27174349	1.65E-04
68.48376754	1.64E-04
68.69579158	1.64E-04
68.90781563	1.64E-04
69.11983968	1.64E-04
69.33186373	1.64E-04
69.54388778	1.64E-04
69.75591182	1.64E-04
69.96793587	1.64E-04
70.17995992	1.64E-04
70.39198397	1.64E-04
70.60400802	1.64E-04
70.81603206	1.64E-04
71.02805611	1.64E-04
71.24008016	1.64E-04
71.45210421	1.64E-04
71.66412826	1.63E-04
71.8761523	1.63E-04
72.08817635	1.63E-04
72.3002004	1.63E-04
72.51222445	1.63E-04
72.7242485	1.63E-04
72.93627255	1.63E-04
73.14829659	1.63E-04
73.36032064	1.63E-04
73.57234469	1.63E-04
73.78436874	1.63E-04
73.99639279	1.63E-04
74.20841683	1.63E-04
74.42044088	1.63E-04
74.63246493	1.63E-04
74.84448898	1.62E-04
75.05651303	1.62E-04
75.26853707	1.62E-04
75.48056112	1.62E-04
75.69258517	1.62E-04
75.90460922	1.62E-04
76.11663327	1.62E-04
76.32865731	1.62E-04
76.54068136	1.62E-04
76.75270541	1.62E-04
76.96472946	1.62E-04
77.17675351	1.62E-04
77.38877756	1.62E-04
77.6008016	1.62E-04
77.81282565	1.62E-04
78.0248497	1.61E-04
78.23687375	1.61E-04
78.4488978	1.61E-04
78.66092184	1.61E-04
78.87294589	1.61E-04
79.08496994	1.61E-04
79.29699399	1.61E-04
79.50901804	1.61E-04
79.72104208	1.61E-04
79.93306613	1.61E-04
80.14509018	1.61E-04
80.35711423	1.61E-04
80.56913828	1.61E-04
80.78116232	1.61E-04
80.99318637	1.61E-04
81.20521042	1.60E-04
81.41723447	1.60E-04
81.62925852	1.60E-04
81.84128257	1.60E-04
82.05330661	1.60E-04
82.26533066	1.60E-04
82.47735471	1.60E-04
82.68937876	1.60E-04
82.90140281	1.60E-04
83.11342685	1.60E-04
83.3254509	1.60E-04
83.53747495	1.60E-04
83.749499	1.60E-04
83.96152305	1.60E-04
84.17354709	1.60E-04
84.38557114	1.60E-04
84.59759519	1.59E-04
84.80961924	1.59E-04
85.02164329	1.59E-04
85.23366733	1.59E-04
85.44569138	1.59E-04
85.65771543	1.59E-04
85.86973948	1.59E-04
86.08176353	1.59E-04
86.29378758	1.59E-04
86.50581162	1.59E-04
86.71783567	1.59E-04
86.92985972	1.59E-04
87.14188377	1.59E-04
87.35390782	1.59E-04
87.56593186	1.59E-04
87.77795591	1.58E-04
87.98997996	1.58E-04
88.20200401	1.58E-04
88.41402806	1.58E-04
88.6260521	1.58E-04
88.83807615	1.58E-04
89.0501002	1.58E-04
89.26212425	1.58E-04
89.4741483	1.58E-04
89.68617234	1.58E-04
89.89819639	1.58E-04
90.11022044	1.58E-04
90.32224449	1.58E-04
90.53426854	1.58E-04
90.74629259	1.58E-04
90.95831663	1.58E-04
91.17034068	1.57E-04
91.38236473	1.57E-04
91.59438878	1.57E-04
91.80641283	1.57E-04
92.01843687	1.57E-04
92.23046092	1.57E-04
92.44248497	1.57E-04
92.65450902	1.57E-04
92.86653307	1.57E-04
93.07855711	1.57E-04
93.29058116	1.57E-04
93.50260521	1.57E-04
93.71462926	1.57E-04
93.92665331	1.57E-04
94.13867735	1.57E-04
94.3507014	1.57E-04
94.56272545	1.56E-04
94.7747495	1.56E-04
94.98677355	1.56E-04
95.1987976	1.56E-04
95.41082164	1.56E-04
95.62284569	1.56E-04
95.83486974	1.56E-04
96.04689379	1.56E-04
96.25891784	1.56E-04
96.47094188	1.56E-04
96.68296593	1.56E-04
96.89498998	1.56E-04
97.10701403	1.56E-04
97.31903808	1.56E-04
97.53106212	1.56E-04
97.74308617	1.56E-04
97.95511022	1.55E-04
98.16713427	1.55E-04
98.37915832	1.55E-04
98.59118236	1.55E-04
98.80320641	1.55E-04
99.01523046	1.55E-04
99.22725451	1.55E-04
99.43927856	1.55E-04
99.65130261	1.55E-04
99.86332665	1.55E-04
100.0753507	1.55E-04
100.2873747	1.55E-04
100.4993988	1.55E-04
100.7114228	1.55E-04
100.9234469	1.55E-04
101.1354709	1.55E-04
101.347495	1.54E-04
101.559519	1.54E-04
101.7715431	1.54E-04
101.9835671	1.54E-04
102.1955912	1.54E-04
102.4076152	1.54E-04
102.6196393	1.54E-04
102.8316633	1.54E-04
103.0436874	1.54E-04
103.2557114	1.54E-04
103.4677355	1.54E-04
103.6797595	1.54E-04
103.8917836	1.54E-04
104.1038076	1.54E-04
104.3158317	1.54E-04
104.5278557	1.54E-04
104.7398798	1.54E-04
104.9519038	1.53E-04
105.1639279	1.53E-04
105.3759519	1.53E-04
105.587976	1.53E-04
105.8	1.53E-04
