m	NaCl/CaCl2 = 1/3	NaCl/CaCl2 = 1/1	NaCl/CaCl2 = 1/0.33	NaCl
#m	1NaCl + 3CaCl2	1 + 1	1 +  0.333
#						rho
# nNaCl/nCaCl2 ) 1/2.9994
1.5854				1.0312
1.6654				1.0397
1.6728				1.0410
1.8995				1.0653
1.9610				1.0715
1.9930				1.0733
1.9989				1.0727
2.0000				1.0756
2.0000				1.0727
2.0010				1.0764
2.0869				1.0851
2.0869				1.0851
2.0869				1.0851
2.3156				1.1129
2.5139				1.1335
2.5514				1.1320
2.6375				1.1519
2.7025				1.1599
2.7186				1.1632
2.9296				1.1886
2.9405				1.1930
3.0000				1.2002
3.0000				1.1928
3.0038				1.1946
3.0939				1.2105
3.2015				1.2302
3.2015				1.2275
3.2015				1.2275
3.2249				1.2328
3.2579				1.2368
3.2672				1.2410
3.4321				1.2621
3.4865				1.2683
3.5345				1.2747
3.6736				1.3000
3.6813				1.3005
3.9873				1.3455
3.9992				1.3433
4.0000				1.3528
4.0000				1.3433
4.2179				1.3902
4.3018				1.3985
4.3397				1.4117
4.3739				1.4136
4.3739				1.4065
4.3739				1.4065
4.6368				1.4658
4.9288				1.5218
4.9992				1.5186
5.0000				1.5337
5.0000				1.5186
5.1160				1.5591
5.2432				1.5752
5.2593				1.5887
5.3460				1.6068
5.3886				1.6085
5.3931				1.6005
5.4952				1.6326
5.5426				1.6490
5.6126				1.6575
5.6126				1.6539
5.6126				1.6539
5.8023				1.7000
5.8227				1.7008
5.8345				1.7145
6.0216				1.7585
6.1470				1.7732
