        dist	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  4.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  5.1995e-01	  5.1996e-01	  5.1996e-01	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  5.1998e-01	  5.1996e-01	  5.1996e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  3.8015e-02	  3.8027e-02	  3.8027e-02	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  3.8039e-02	  3.8027e-02	  3.8027e-02	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  1.0895e-03	  1.0904e-03	  1.0904e-03	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  1.0916e-03	  1.0904e-03	  1.0904e-03	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  1.4342e-05	  1.4338e-05	  1.4338e-05	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  1.4343e-05	  1.4338e-05	  1.4338e-05	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  8.0295e-01	  7.6019e-01	  7.6019e-01	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  7.1838e-01	  7.6019e-01	  7.6019e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  3.5066e-01	  2.9227e-01	  2.9227e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  2.3462e-01	  2.9227e-01	  2.9227e-01	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  4.8547e-02	  3.3358e-02	  3.3358e-02	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  1.7693e-02	  3.3358e-02	  3.3358e-02	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  2.8571e-03	  1.8647e-03	  1.8647e-03	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  6.6775e-04	  1.8647e-03	  1.8647e-03	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  2.2517e-01	  8.7573e-01	  8.7573e-01	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  1.1680e+00	  8.7572e-01	  8.7572e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  1.5577e-01	  5.2610e-01	  5.2610e-01	  0.0000e+00	  0.0000e+00	
  1.5000e+00	  1.0328e+00	  5.2610e-01	  5.2610e-01	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  6.0785e-02	  1.7338e-01	  1.7338e-01	  0.0000e+00	  0.0000e+00	
  2.5000e+00	  4.5733e-01	  1.7338e-01	  1.7338e-01	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  9.4625e-03	  2.4042e-02	  2.4042e-02	  0.0000e+00	  0.0000e+00	
  3.5000e+00	  7.5071e-02	  2.4042e-02	  2.4042e-02	  0.0000e+00	  0.0000e+00	
