Time	Data
0	0.000205639
6.909722222	0.000196056
10.79166667	0.00019482
18.08333333	0.000186131
23.08333333	0.000184574
28.08333333	0.000183688
30	0.000179555
35	0.000175653
37	0.000175596
42	0.000175484
49	0.000168249
56.04166667	0.000164021
65	0.000163215
73.83333333	0.000161994
80.83333333	0.000159504
94.83333333	0.000154895
105.8333333	0.000154658
