        dist	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
  0.0000e+00	  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  0.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	
  1.5000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  5.0000e-01	  1.0000e+00	  1.0000e+00	  1.0000e-22	  1.0000e-22	
  1.5000e+00	  2.3814e-18	  0.0000e+00	  0.0000e+00	  1.0000e+00	  1.0000e+00	
  2.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.0000e-01	  7.5000e-01	  1.0000e+00	  1.0000e+00	  1.0000e-22	  1.0000e-22	
  1.5000e+00	  5.0000e-01	  0.0000e+00	  0.0000e+00	  1.0000e-22	  1.0000e-22	
  2.0000e+00	  1.8834e-18	  0.0000e+00	  0.0000e+00	  1.0000e+00	  1.0000e+00	
