        cell	          Cl	         Sua	         Hfo	         Sub	   Sorbedhfo	
  1.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  3.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  9.9970e-01	  9.9970e-01	  1.0000e+00	  1.0000e+00	  0.0000e+00	
  2.0000e+00	  3.0030e-04	  3.0000e-04	  3.0000e-07	  3.0000e-07	  0.0000e+00	
  3.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  5.0000e-01	
  2.0000e+00	  9.9940e-01	  9.9940e-01	  5.0000e-01	  1.0000e+00	  1.5000e-07	
  3.0000e+00	  6.0043e-04	  5.9982e-04	  3.0000e-07	  6.0000e-07	  0.0000e+00	
  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0000e+00	
  2.0000e+00	  1.0000e+00	  1.0000e+00	  5.0000e-01	  1.0000e+00	  2.5000e-01	
  3.0000e+00	  9.9940e-01	  9.9940e-01	  2.5000e-01	  1.0000e+00	  1.5000e-07	
