"Lab_ID","Field_ID","Date","Temp_C","pH","SpCond_us_cm","DO_mgL","CO2_ppm","CH4_ppm","Alkalinity_mgL","DIC_umolesL","DOC_mgL_ofC","SUVA_Lmg_Cm","UV_at254nm","Calcium_mgL","Potassium_mgL","Magnesium_mgL","Sodium_mgL","Chloride_mgL","Sulfate_mgL","Ammonium_mgL","Nitrate_mgL","Phosphorous_mgL","H2_permil","O18_permil","DIC_13C_permil","TYPE","Source"
12260,"0_89_2","2011-06-16",16.5,8.12,362,NA,1361,44.1,189.33,2387.2,34.9,1.9,0.647,28.17,8.89,13.2,38.12,5.35,10.91,0.038,0.39,"NA",NA,NA,0.71,"Lake","USGS_RStriegl"
12261,"1_57_2","2011-06-17",15.6,7.26,304,NA,722,125.83,37.87,527.8,24.6,2.1,0.514,33.98,17.96,11.3,4.07,2.04,116.29,0.01,0.005,"NA",NA,NA,-10.01,"Lake","USGS_RStriegl"
12262,"0_87_1","2011-06-17",18.7,7.97,308,NA,1476,26.18,149.74,1991.8,29.5,1.9,0.57,40.66,5.57,13.7,8.69,6.82,16.86,0.121,0.26,"NA",NA,NA,-0.99,"Lake","USGS_RStriegl"
12263,"0_87_3","2011-06-18",18.6,8.1,363,NA,1482,54.27,187.08,2624.8,32.6,2.1,0.672,37.16,5.11,11.8,28.9,7.07,2.82,0.031,0.005,"NA",NA,NA,-0.32,"Lake","USGS_RStriegl"
12264,"1_69_1","2011-06-18",18.1,6.71,143,NA,4892,94.72,52.74,848.9,20.2,3.6,0.73,20.96,2.26,4.9,2.03,1.55,22.06,0.022,0.005,"NA",NA,NA,-11.67,"Lake","USGS_RStriegl"
12305,"1_90_1","2011-06-22",19.7,7.9,105,NA,1044,21.29,61.14,856.6,25.2,1.6,0.408,16.27,2.39,5.6,1.52,2.71,0.015,0,0.14,"NA",NA,NA,-6.02,"Lake","USGS_RStriegl"
12306,"1_98_3","2011-06-24",16.8,6.95,112,NA,2291,57.63,61.87,929.7,35,2.8,0.997,20.95,5.53,6.3,4.32,1.26,0.7,0.116,0.005,"NA",NA,NA,-3.7,"Lake","USGS_RStriegl"
12307,"1_90_3","2011-06-24",16.6,7.57,113,NA,4542,117.04,72.5,1210.8,29.9,2.8,0.849,20.99,1.81,5.7,1.61,1.13,0.015,0,0.1,"NA",NA,NA,-3.76,"Lake","USGS_RStriegl"
12308,"0_18_2","2011-06-24",18.1,8.65,NA,NA,372,94.56,133.55,1640.9,25.8,1.9,0.484,22.35,0.85,10.2,21,1.6,7.25,0,0.23,"NA",NA,NA,0.51,"Lake","USGS_RStriegl"
12309,"1_98_2","2011-06-25",17.8,6.89,97,NA,4492,5.6,48.01,775.2,35.4,3.4,1.202,16.83,3,5,3.53,1.63,2.27,0,0.005,"NA",NA,NA,-12.77,"Lake","USGS_RStriegl"
