NaCl/M	sat.P	493.atm	987.atm
0	0.0017	0.00308	0.00508
0.5	0.0072	0.0108	0.0137
1	0.0108	0.0152	0.02
2	0.0158	0.0204	0.0272
3	0.019	0.0234	0.0301
4	0.0209	0.0255	0.0316
5	0.0217	0.0262	0.0313
6	0.0216	0.0256	0.0298
