NaCl/M	sat.P	493.atm	987.atm
0	0.000542	0.00105	0.00178
0.5	0.0034	0.0048	0.0073
1	0.0059	0.0083	0.0115
2	0.0101	0.0133	0.0173
3	0.0133	0.0168	0.0212
4	0.0157	0.0194	0.0243
5	0.0178	0.0217	0.0264
6	0.0196	0.0237	0.0276
