        dist	          Cl	        Su_a	        Su_b	       Hfo_w	       Hfo_s	
 5.0000e-001	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 4.6803e-001	 4.6803e-001	 4.6803e-001	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 4.6803e-001	 4.6803e-001	 4.6803e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 3.1291e-002	 3.1292e-002	 3.1292e-002	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 3.1293e-002	 3.1292e-002	 3.1292e-002	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 6.7124e-004	 6.7130e-004	 6.7130e-004	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 6.7138e-004	 6.7130e-004	 6.7130e-004	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 4.6297e-006	 4.6296e-006	 4.6296e-006	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 4.6297e-006	 4.6296e-006	 4.6296e-006	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 7.0982e-001	 7.0955e-001	 7.0955e-001	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 7.0929e-001	 7.0955e-001	 7.0955e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 2.5945e-001	 2.5922e-001	 2.5922e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 2.5899e-001	 2.5922e-001	 2.5922e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 2.9718e-002	 2.9596e-002	 2.9596e-002	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 2.9474e-002	 2.9596e-002	 2.9596e-002	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 1.6481e-003	 1.6297e-003	 1.6297e-003	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 1.6076e-003	 1.6297e-003	 1.6297e-003	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 8.0225e-001	 8.3777e-001	 8.3777e-001	 0.0000e+000	 0.0000e+000	
 5.0000e-001	 8.7364e-001	 8.3777e-001	 8.3777e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 4.4293e-001	 4.8281e-001	 4.8281e-001	 0.0000e+000	 0.0000e+000	
 1.5000e+000	 5.2194e-001	 4.8281e-001	 4.8281e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 1.2425e-001	 1.5485e-001	 1.5485e-001	 0.0000e+000	 0.0000e+000	
 2.5000e+000	 1.8507e-001	 1.5485e-001	 1.5485e-001	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 1.2892e-002	 2.3749e-002	 2.3749e-002	 0.0000e+000	 0.0000e+000	
 3.5000e+000	 3.5377e-002	 2.3749e-002	 2.3749e-002	 0.0000e+000	 0.0000e+000	
