          tc	         rho	
 2.5000e+001	 1.0233e+000	
 2.5000e+001	 9.9712e-001	
 2.5000e+001	 9.9721e-001	
 2.5000e+001	 9.9749e-001	
 2.5000e+001	 9.9713e-001	
