        cell	          pH	          pe	          Na	          Ca	          Cl	          cb	






 1.0000e+000	 7.0108e+000	 1.1069e+001	 9.8532e-007	 2.7105e-004	 5.3685e-004	-9.4762e-021	
 4.0000e+000	 6.9745e+000	 1.1181e+001	 1.1036e-009	 2.1521e-004	 4.4102e-004	 2.5610e-021	
 6.0000e+000	 6.9559e+000	 1.1189e+001	 6.6660e-013	 1.8937e-004	 3.9801e-004	 3.5403e-021	
 8.0000e+000	 6.9660e+000	 1.1168e+001	 6.8075e-013	 2.0303e-004	 4.2059e-004	 1.6150e-020	
 2.0000e+000	 6.9705e+000	-1.1007e+000	 9.9076e-011	 4.9295e-005	 1.1104e-004	 3.0440e-022	
 5.0000e+000	 6.9472e+000	 1.0890e+001	 1.6948e-014	 3.5987e-005	 9.5277e-005	 2.7462e-021	






 1.0000e+000	 6.9980e+000	 1.1164e+001	 2.6838e-007	 1.2715e-004	 2.5426e-004	-9.1453e-021	
 4.0000e+000	 6.9979e+000	 1.1228e+001	 2.6900e-010	 9.1815e-005	 1.8341e-004	-6.4983e-021	
 6.0000e+000	 6.9978e+000	 1.1236e+001	 1.4424e-013	 7.6546e-005	 1.5291e-004	-5.1351e-021	
 8.0000e+000	 6.9978e+000	 1.1228e+001	 3.0264e-013	 8.4321e-005	 1.6844e-004	-7.0807e-021	
 2.0000e+000	 6.9974e+000	 1.1305e+001	 4.9926e-012	 1.3363e-005	 2.6693e-005	-4.3569e-020	
 5.0000e+000	 6.9974e+000	 1.1323e+001	 6.2153e-016	 9.5290e-006	 1.9035e-005	-4.7434e-020	
