        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	






 1.0000e+000	 1.2263e+001	 8.4361e+000	 5.1479e-001	 3.8280e-001	 3.4764e+000	 6.5437e+000	 5.0161e-007	
 4.0000e+000	 1.2301e+001	 8.5497e+000	 2.0798e+000	 2.8400e-001	 2.7599e+000	 5.5121e+000	 3.6175e-008	
 6.0000e+000	 1.2394e+001	 8.4322e+000	 1.6562e+000	 2.4073e-001	 3.1371e+000	 5.2172e+000	 8.5417e-008	
 8.0000e+000	 1.2365e+001	 8.4521e+000	 1.5213e+000	 2.6332e-001	 3.0132e+000	 5.3767e+000	 2.8959e-008	
 2.0000e+000	 1.1881e+001	-1.1370e+001	 0.0000e+000	 6.3657e-002	 3.8862e-001	 8.5868e-001	 6.4886e-007	
 5.0000e+000	 1.1921e+001	-1.1566e+001	 0.0000e+000	 4.7272e-002	 3.1010e-001	 6.4604e-001	 2.2627e-007	




 0.0000e+000	 6.0259e+000	-3.4409e-001	 0.0000e+000	 1.0000e+000	 9.9010e-002	 1.0000e+001	 4.5928e-011	






 1.0000e+000	 6.4930e+000	 1.3106e+001	 2.0724e-005	 2.5457e-001	 1.9577e-002	 2.5457e+000	 5.0508e-008	
 4.0000e+000	 6.5816e+000	 1.3003e+001	 1.8084e-005	 1.8363e-001	 1.3095e-004	 1.8363e+000	 1.3501e-007	
 6.0000e+000	 6.6278e+000	 1.2950e+001	 1.6993e-005	 1.5309e-001	 4.6611e-007	 1.5309e+000	 1.1057e-007	
 8.0000e+000	 6.6035e+000	 1.2977e+001	 1.7417e-005	 1.6864e-001	 9.8418e-007	 1.6864e+000	 1.3423e-007	
 2.0000e+000	 6.9050e+000	 1.2675e+001	 1.7306e-005	 2.6726e-002	 3.0029e-006	 2.6726e-001	-1.8665e-007	
 5.0000e+000	 6.9294e+000	 1.2647e+001	 1.6759e-005	 1.9058e-002	 3.9828e-009	 1.9058e-001	-1.3867e-007	
