m_Na	Mirabilite	Thenardite
0.308	0
0.434	5
0.616	10
0.924	15
1.335	20
1.967	25
2.370	27.5
2.899	30
3.388	32
3.507	33
3.373		40
3.160		60
3.027		80
2.980		100
2.965		120
2.974		140
3.014		160
3.078		180
3.142		200
3.206		220
