        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	






  1.0000e+00	  6.9997e+00	  1.1178e+01	  4.2824e-11	  3.8259e-01	  3.8259e+00	  3.8259e+00	 -1.1815e-17	
  4.0000e+00	  6.9997e+00	  1.1213e+01	  5.9016e-11	  2.8356e-01	  2.8356e+00	  2.8356e+00	  8.8137e-18	
  6.0000e+00	  6.9996e+00	  1.1218e+01	  6.1685e-11	  2.4023e-01	  2.4023e+00	  2.4023e+00	 -1.7688e-18	
  8.0000e+00	  6.9996e+00	  1.1218e+01	  6.1423e-11	  2.6271e-01	  2.6271e+00	  2.6271e+00	  1.7018e-18	
  2.0000e+00	  6.9997e+00	  1.1289e+01	  1.1897e-10	  6.3649e-02	  6.3649e-01	  6.3649e-01	 -1.0985e-18	
  5.0000e+00	  6.9997e+00	  1.1283e+01	  1.1264e-10	  4.7270e-02	  4.7270e-01	  4.7270e-01	 -5.0709e-19	









  1.0000e+00	  6.9997e+00	  1.1229e+01	  6.8526e-11	  2.5457e-01	  2.5457e+00	  2.5457e+00	  9.8243e-19	
  4.0000e+00	  6.9997e+00	  1.1259e+01	  9.0147e-11	  1.8363e-01	  1.8363e+00	  1.8363e+00	  8.9468e-19	
  6.0000e+00	  6.9997e+00	  1.1283e+01	  1.1249e-10	  1.5309e-01	  1.5309e+00	  1.5309e+00	  9.0294e-19	
  8.0000e+00	  6.9997e+00	  1.1267e+01	  9.7058e-11	  1.6864e-01	  1.6864e+00	  1.6864e+00	  9.5065e-19	
  2.0000e+00	  6.9997e+00	  1.1262e+01	  9.2542e-11	  2.6726e-02	  2.6726e-01	  2.6726e-01	 -4.4580e-19	
  5.0000e+00	  6.9998e+00	  1.1269e+01	  9.8895e-11	  1.9058e-02	  1.9058e-01	  1.9058e-01	 -2.5731e-19	
