        dist	       Ca/Na	     Cl/S(6)	         H2S	          pH	          pe	          cb	










  2.0000e-03	  1.8725e+00	  9.3623e-01	  0.0000e+00	  7.0004e+00	  1.1186e+01	 -1.6320e-13	
  6.0000e-03	  1.6126e+00	  8.0632e-01	  0.0000e+00	  7.0008e+00	  1.1224e+01	  1.1324e-14	
  1.0000e-02	  1.3530e+00	  6.7648e-01	  0.0000e+00	  7.0005e+00	  1.1195e+01	 -7.4385e-15	
  1.4000e-02	  1.1016e+00	  5.5081e-01	  0.0000e+00	  6.9992e+00	  1.1224e+01	 -2.1094e-15	
  1.8000e-02	  8.6658e-01	  4.3329e-01	  0.0000e+00	  6.9967e+00	  1.1266e+01	 -4.7740e-15	
  2.2000e-02	  6.5419e-01	  3.2709e-01	  0.0000e+00	  6.9928e+00	  1.1269e+01	 -9.4369e-16	
  2.6000e-02	  4.6791e-01	  2.3396e-01	  0.0000e+00	  6.9874e+00	  1.1262e+01	  5.5511e-16	
  3.0000e-02	  3.0753e-01	  1.5377e-01	  0.0000e+00	  6.9809e+00	  1.1277e+01	 -1.3045e-15	
  3.4000e-02	  1.6926e-01	  8.4629e-02	  0.0000e+00	  6.9754e+00	  1.1299e+01	  5.5511e-17	
  3.8000e-02	  4.7891e-02	  2.3945e-02	  0.0000e+00	  6.9828e+00	  1.1286e+01	  3.6082e-16	












  2.0000e-03	  1.8021e+00	  9.0104e-01	  0.0000e+00	  7.0279e+00	  1.1483e+01	  1.3323e-15	
  6.0000e-03	  1.4182e+00	  7.0911e-01	  0.0000e+00	  7.0794e+00	  1.1401e+01	  9.9920e-16	
  1.0000e-02	  1.0681e+00	  5.3404e-01	  0.0000e+00	  7.1223e+00	  1.1325e+01	  6.6613e-16	
  1.4000e-02	  7.6771e-01	  3.8386e-01	  0.0000e+00	  7.1539e+00	  1.1261e+01	  5.5511e-16	
  1.8000e-02	  5.2536e-01	  2.6268e-01	  0.0000e+00	  7.1728e+00	  1.1210e+01	  6.1062e-16	
  2.2000e-02	  3.4134e-01	  1.7067e-01	  0.0000e+00	  7.1784e+00	  1.1179e+01	  3.8858e-16	
  2.6000e-02	  2.0955e-01	  1.0477e-01	  0.0000e+00	  7.1715e+00	  1.1156e+01	  8.3267e-17	
  3.0000e-02	  1.1978e-01	  5.9892e-02	  0.0000e+00	  7.1528e+00	  1.1157e+01	  1.6653e-16	
  3.4000e-02	  6.0047e-02	  3.0023e-02	  0.0000e+00	  7.1220e+00	  1.1170e+01	  9.0206e-17	
  3.8000e-02	  1.8067e-02	  9.0333e-03	  0.0000e+00	  7.0680e+00	  1.1214e+01	  3.4694e-18	
