         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          Cl	          Na	           K	           N	
           1	      transp	          20	        1.95	       18000	           5	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           4	      i_soln	           0	         -99	         -99	         -99	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	           1	        0.05	       18000	           0	           7	     13.6219	  9.6495e-04	  8.8504e-04	  1.1503e-04	  1.0001e-03	
           2	      transp	           2	        0.15	       18000	           0	     7.00001	     13.6219	  9.1812e-04	  6.9360e-04	  3.0647e-04	  1.0001e-03	
           2	      transp	           3	        0.25	       18000	           0	     7.00003	     13.6219	  8.4451e-04	  4.3288e-04	  5.6719e-04	  1.0001e-03	
           2	      transp	           4	        0.35	       18000	           0	     7.00003	     13.6219	  7.1652e-04	  1.9734e-04	  8.0273e-04	  1.0001e-03	
           2	      transp	           5	        0.45	       18000	           0	     7.00003	     13.6219	  4.9952e-04	  6.0705e-05	  9.3936e-04	  1.0001e-03	
           2	      transp	           6	        0.55	       18000	           0	     7.00001	     13.6219	  2.4048e-04	  1.1785e-05	  9.8827e-04	  1.0001e-03	
           2	      transp	           7	        0.65	       18000	           0	           7	     13.6219	  7.2813e-05	  1.4039e-06	  9.9865e-04	  1.0001e-03	
           2	      transp	           8	        0.75	       18000	           0	           7	     13.6219	  1.3132e-05	  9.9324e-08	  9.9995e-04	  1.0001e-03	
           2	      transp	           9	        0.85	       18000	           0	           7	     13.6219	  1.2882e-06	  3.8318e-09	  1.0000e-03	  1.0001e-03	
           2	      transp	          10	        0.95	       18000	           0	           7	     13.6219	  5.2941e-08	  6.2140e-11	  1.0001e-03	  1.0001e-03	
           2	      transp	          11	        1.05	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	          12	        1.15	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	          13	        1.25	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	          14	        1.35	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	          15	        1.45	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	          16	        1.55	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	          17	        1.65	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	          18	        1.75	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	          19	        1.85	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	          20	        1.95	       18000	           0	           7	     13.6219	  0.0000e+00	  0.0000e+00	  1.0001e-03	  1.0001e-03	
           2	      transp	           1	        0.05	       36000	           5	           7	     13.6219	  2.4019e-05	  6.9281e-05	  9.3077e-04	  1.0001e-03	
           2	      transp	           2	        0.15	       36000	           5	     6.99999	     13.6219	  5.5022e-05	  1.9650e-04	  8.0355e-04	  1.0001e-03	
           2	      transp	           3	        0.25	       36000	           5	     6.99998	     13.6219	  1.0487e-04	  3.5754e-04	  6.4252e-04	  1.0001e-03	
           2	      transp	           4	        0.35	       36000	           5	     6.99998	     13.6219	  1.9973e-04	  4.5279e-04	  5.4726e-04	  1.0001e-03	
           2	      transp	           5	        0.45	       36000	           5	           7	     13.6219	  3.7234e-04	  4.1892e-04	  5.8114e-04	  1.0001e-03	
           2	      transp	           6	        0.55	       36000	           5	     7.00002	     13.6219	  5.7349e-04	  2.9578e-04	  7.0428e-04	  1.0001e-03	
           2	      transp	           7	        0.65	       36000	           5	     7.00003	     13.6219	  6.6597e-04	  1.6535e-04	  8.3472e-04	  1.0001e-03	
           2	      transp	           8	        0.75	       36000	           5	     7.00003	     13.6219	  6.2670e-04	  7.4573e-05	  9.2549e-04	  1.0001e-03	
           2	      transp	           9	        0.85	       36000	           5	     7.00003	     13.6219	  5.1006e-04	  2.7083e-05	  9.7298e-04	  1.0001e-03	
           2	      transp	          10	        0.95	       36000	           5	     7.00002	     13.6219	  3.5954e-04	  7.8331e-06	  9.9223e-04	  1.0001e-03	
           2	      transp	          11	        1.05	       36000	           5	     7.00001	     13.6219	  2.1135e-04	  1.7834e-06	  9.9827e-04	  1.0001e-03	
           2	      transp	          12	        1.15	       36000	           5	     7.00001	     13.6219	  9.9595e-05	  3.1665e-07	  9.9974e-04	  1.0001e-03	
           2	      transp	          13	        1.25	       36000	           5	           7	     13.6219	  3.6612e-05	  4.3507e-08	  1.0000e-03	  1.0001e-03	
           2	      transp	          14	        1.35	       36000	           5	           7	     13.6219	  1.0310e-05	  4.5862e-09	  1.0000e-03	  1.0001e-03	
           2	      transp	          15	        1.45	       36000	           5	           7	     13.6219	  2.1885e-06	  3.6638e-10	  1.0001e-03	  1.0001e-03	
           2	      transp	          16	        1.55	       36000	           5	           7	     13.6219	  3.4304e-07	  2.1752e-11	  1.0001e-03	  1.0001e-03	
           2	      transp	          17	        1.65	       36000	           5	           7	     13.6219	  3.8445e-08	  9.2902e-13	  1.0001e-03	  1.0001e-03	
           2	      transp	          18	        1.75	       36000	           5	           7	     13.6219	  2.9123e-09	  2.6966e-14	  1.0001e-03	  1.0001e-03	
           2	      transp	          19	        1.85	       36000	           5	           7	     13.6219	  1.3359e-10	  4.7618e-16	  1.0001e-03	  1.0001e-03	
           2	      transp	          20	        1.95	       36000	           5	           7	     13.6219	  2.8025e-12	  3.8610e-18	  1.0001e-03	  1.0001e-03	
           2	      transp	           1	        0.05	       54000	          10	           7	     13.6219	  7.5889e-06	  2.0249e-05	  9.7980e-04	  1.0001e-03	
           2	      transp	           2	        0.15	       54000	          10	           7	     13.6219	  1.7993e-05	  5.0943e-05	  9.4911e-04	  1.0001e-03	
           2	      transp	           3	        0.25	       54000	          10	           7	     13.6219	  3.3135e-05	  1.0209e-04	  8.9797e-04	  1.0001e-03	
           2	      transp	           4	        0.35	       54000	          10	     6.99999	     13.6219	  5.3590e-05	  1.7480e-04	  8.2525e-04	  1.0001e-03	
           2	      transp	           5	        0.45	       54000	          10	     6.99999	     13.6219	  8.0158e-05	  2.5484e-04	  7.4521e-04	  1.0001e-03	
           2	      transp	           6	        0.55	       54000	          10	     6.99999	     13.6219	  1.1395e-04	  3.1308e-04	  6.8698e-04	  1.0001e-03	
           2	      transp	           7	        0.65	       54000	          10	     6.99999	     13.6219	  1.5766e-04	  3.2277e-04	  6.7729e-04	  1.0001e-03	
           2	      transp	           8	        0.75	       54000	          10	           7	     13.6219	  2.1666e-04	  2.7969e-04	  7.2037e-04	  1.0001e-03	
           2	      transp	           9	        0.85	       54000	          10	     7.00001	     13.6219	  2.9573e-04	  2.0468e-04	  7.9538e-04	  1.0001e-03	
