          tc	         rho	
  2.5000e+01	  1.0234e+00	
  2.5000e+01	  9.9717e-01	
  2.5000e+01	  9.9725e-01	
  2.5000e+01	  9.9752e-01	
  2.5000e+01	  9.9717e-01	
