p/MPa	1.5°C	23°C	50.3°C	75.2°C	100.3°C	125.4°C	150.8°C	176°C
# p	rho/g/L
30.29	1030.1
50.41	1038.8
70.53	1047.2
100.77	1059.2
30.25		1025.3
50.36		1033.4
70.44		1041.2
100.76		1052.6
70.46			1029.6
100.78			1040.7
70.58				1015.3
100.78				1026.8
70.59					998.2
100.80					1010.3
50.47						970.0
70.60						979.3
100.80						992.1
50.46							948.0
70.58							958.1
100.81							972.1
50.45								923.6
70.57								934.9
100.80								950.3
